NCES School ID,Teachers w/Bachelor Degree (%),Teachers w/Masters or PhD (%),Teachers w/1-5 yrs of exp (%),Teachers w/5+ yrs of exp (%),Mean yrs of teaching exp,Mean base salary for teachers w/1-5 yrs exp,Mean base salary for teachers w/5+ yrs exp,Mean base salary,State
040068000028,55.3,44.7,23.4,76.6,12.0,33532.0,45748.0,42889.0,AZ
040068000029,57.1,42.9,31.4,68.6,13.0,34184.0,46007.0,42291.0,AZ
040068000030,45.5,54.5,54.5,45.5,7.0,30922.0,42796.0,36319.0,AZ
040068000031,46.2,53.8,19.2,80.8,14.0,33613.0,49607.0,46531.0,AZ
040068000032,59.2,40.8,25.5,74.5,12.0,33746.0,45668.0,42627.0,AZ
040068000033,49.5,50.5,16.5,83.5,15.0,32727.0,48282.0,45718.0,AZ
040068001001,61.0,39.0,27.3,72.7,10.0,32411.0,42773.0,39947.0,AZ
040068001031,60.0,40.0,36.0,64.0,11.0,36261.0,46447.0,42780.0,AZ
040068001286,53.7,46.3,31.7,68.3,11.0,34161.0,45995.0,42243.0,AZ
040068001394,61.4,38.6,25.0,75.0,12.0,32853.0,44248.0,41399.0,AZ
040068001525,43.2,56.8,22.7,77.3,10.0,33402.0,42769.0,40640.0,AZ
040068002066,59.5,40.5,24.3,75.7,11.0,34044.0,44957.0,42303.0,AZ
040068002198,51.6,48.4,48.4,51.6,9.0,33433.0,46578.0,40222.0,AZ
040072000034,61.1,38.9,27.8,72.2,12.0,35817.0,43293.0,41216.0,AZ
040079000040,58.6,41.4,44.8,55.2,7.0,31246.0,40079.0,36119.0,AZ
040079000041,47.8,52.2,30.4,69.6,13.0,31355.0,46815.0,42109.0,AZ
040079000042,58.3,41.7,47.2,52.8,10.0,32249.0,44752.0,38848.0,AZ
040079000043,40.3,59.7,24.7,75.3,12.0,32311.0,44198.0,41265.0,AZ
040079001200,56.7,43.3,36.7,63.3,8.0,31880.0,40725.0,37482.0,AZ
040079001461,44.1,55.9,29.4,70.6,12.0,30303.0,45640.0,41129.0,AZ
040079001628,42.5,57.5,35.0,65.0,9.0,33629.0,41098.0,38483.0,AZ
040079002212,46.2,53.8,34.6,65.4,9.0,32520.0,41156.0,38167.0,AZ
040079002345,,71.4,,85.7,11.0,,42455.0,40553.0,AZ
040084000044,63.6,36.4,45.5,54.5,8.0,36397.0,39234.0,37944.0,AZ
040087000046,100.0,0.0,75.0,,6.0,25989.0,,29862.0,AZ
040091000047,66.7,,50.0,50.0,10.0,37267.0,35767.0,36517.0,AZ
040091000048,,66.7,50.0,50.0,9.0,35467.0,38350.0,36908.0,AZ
040091001059,,0.0,,0.0,,,,,AZ
040096000049,43.2,56.8,47.7,52.3,9.0,34453.0,52785.0,44035.0,AZ
040096000051,59.4,40.6,42.2,57.8,10.0,34154.0,50189.0,43424.0,AZ
040096001154,71.9,28.1,59.4,40.6,6.0,34077.0,46955.0,39309.0,AZ
040096001878,75.8,24.2,63.6,36.4,6.0,34700.0,43579.0,37929.0,AZ
040096002255,54.3,45.7,48.6,51.4,7.0,33706.0,46658.0,40367.0,AZ
040096002381,55.8,44.2,53.5,46.5,8.0,33802.0,51012.0,41806.0,AZ
040096002494,51.4,48.6,40.5,59.5,8.0,34345.0,47044.0,41896.0,AZ
040100000052,62.5,37.5,50.0,50.0,7.0,36205.0,39705.0,37955.0,AZ
040100000053,,,,,7.0,,,37455.0,AZ
040105000054,50.0,50.0,37.0,63.0,9.0,37801.0,45137.0,42426.0,AZ
040105000055,81.0,19.0,54.8,45.2,7.0,36630.0,45480.0,40633.0,AZ
040105000056,54.5,45.5,39.4,60.6,10.0,36853.0,46754.0,42853.0,AZ
040105000057,58.5,41.5,41.5,58.5,9.0,37470.0,45853.0,42377.0,AZ
040105003142,84.4,15.6,84.4,15.6,4.0,35908.0,41882.0,36842.0,AZ
040108000059,56.3,43.8,18.8,81.3,12.0,29170.0,40029.0,37993.0,AZ
040116000062,70.0,30.0,40.0,60.0,9.0,32299.0,36705.0,34943.0,AZ
040118000063,81.0,19.0,23.8,76.2,8.0,30145.0,35820.0,34469.0,AZ
040118000064,57.1,42.9,,71.4,11.0,,37311.0,35722.0,AZ
040118000066,60.0,40.0,20.0,80.0,14.0,29742.0,38518.0,36763.0,AZ
040118001817,66.7,33.3,,88.9,14.0,,38466.0,37101.0,AZ
040126000070,30.0,70.0,0.0,100.0,15.0,,36110.0,36110.0,AZ
040129000071,75.0,,75.0,,9.0,27489.0,,29336.0,AZ
040133000072,50.0,50.0,,66.7,16.0,,47812.0,42043.0,AZ
040133000073,60.0,,0.0,100.0,17.0,,38979.0,38979.0,AZ
040138002490,76.9,23.1,65.4,34.6,6.0,32735.0,37713.0,34459.0,AZ
040138002491,91.7,,58.3,41.7,7.0,32443.0,39149.0,35237.0,AZ
040138002492,70.6,29.4,29.4,70.6,9.0,33264.0,37571.0,36305.0,AZ
040138003123,77.4,22.6,51.6,48.4,6.0,32658.0,37519.0,35010.0,AZ
040141000075,78.2,21.8,43.6,56.4,7.0,38446.0,44007.0,41580.0,AZ
040141002137,52.3,47.7,47.7,52.3,7.0,38693.0,45083.0,42033.0,AZ
040141003082,0.0,,0.0,,,,,,AZ
040146000077,60.7,39.3,17.9,82.1,13.0,30332.0,42133.0,40025.0,AZ
040146000078,65.0,35.0,27.5,72.5,12.0,31536.0,41883.0,39038.0,AZ
040146000080,69.2,30.8,34.6,65.4,12.0,27983.0,44407.0,38722.0,AZ
040146000081,53.0,47.0,29.9,70.1,12.0,31155.0,42842.0,39353.0,AZ
040146000213,55.3,44.7,28.9,71.1,10.0,29875.0,41066.0,37826.0,AZ
040146001050,71.4,28.6,21.4,78.6,17.0,28906.0,46790.0,42958.0,AZ
040146001051,76.7,23.3,36.7,63.3,14.0,30951.0,44206.0,39346.0,AZ
040146001356,50.0,50.0,20.0,80.0,12.0,28733.0,42586.0,39815.0,AZ
040146003062,62.5,37.5,37.5,62.5,9.0,29713.0,40291.0,36324.0,AZ
040150000084,81.0,19.0,47.6,52.4,7.0,32878.0,36155.0,34594.0,AZ
040150000085,76.9,23.1,71.8,28.2,6.0,32990.0,38964.0,34675.0,AZ
040150000855,84.2,15.8,50.0,50.0,8.0,32562.0,38984.0,35773.0,AZ
040150001053,80.0,20.0,73.3,26.7,4.0,32321.0,37763.0,33772.0,AZ
040150001528,88.9,11.1,37.0,63.0,11.0,32588.0,40051.0,37287.0,AZ
040150001757,77.1,22.9,54.3,45.7,7.0,33027.0,39823.0,36133.0,AZ
040150002184,82.4,17.6,58.8,41.2,6.0,29752.0,32956.0,31071.0,AZ
040160000086,61.1,38.9,19.4,80.6,13.0,30283.0,41040.0,38948.0,AZ
040160000087,61.9,38.1,19.0,81.0,9.0,30588.0,38153.0,36712.0,AZ
040160001529,63.2,36.8,31.6,68.4,10.0,32503.0,38122.0,36347.0,AZ
040160003173,0.0,,0.0,,,,,,AZ
040165000088,81.8,,36.4,63.6,11.0,28263.0,34792.0,32417.0,AZ
040168000089,60.0,40.0,55.6,44.4,8.0,36124.0,53663.0,43919.0,AZ
040168000091,59.6,40.4,55.3,44.7,7.0,38472.0,47052.0,42306.0,AZ
040168000092,53.7,46.3,56.7,43.3,6.0,38328.0,49150.0,43012.0,AZ
040168000093,54.2,45.8,45.8,54.2,8.0,37768.0,51738.0,45335.0,AZ
040168000094,55.9,44.1,64.7,35.3,6.0,37301.0,49004.0,41432.0,AZ
040168000095,71.0,29.0,71.0,29.0,6.0,36382.0,52193.0,40973.0,AZ
040168000096,56.8,43.2,56.8,43.2,7.0,37869.0,50496.0,43321.0,AZ
040168000097,52.5,47.5,50.0,50.0,9.0,39467.0,49155.0,44311.0,AZ
040168000098,47.8,52.2,63.0,37.0,7.0,38225.0,54388.0,44198.0,AZ
040168000100,56.3,43.8,65.6,34.4,7.0,38002.0,53654.0,43383.0,AZ
040168000101,44.2,55.8,44.2,55.8,8.0,39277.0,51808.0,46265.0,AZ
040168000102,60.9,39.1,56.5,43.5,9.0,36876.0,54614.0,44588.0,AZ
040168000104,55.3,44.7,51.1,48.9,7.0,39806.0,48147.0,43888.0,AZ
040168000105,58.5,41.5,56.1,43.9,8.0,37347.0,57241.0,46081.0,AZ
040168001054,53.1,46.9,37.5,62.5,10.0,39451.0,53314.0,48115.0,AZ
040168001055,45.5,54.5,36.4,63.6,10.0,39306.0,50507.0,46434.0,AZ
040168001426,,75.0,50.0,50.0,9.0,41263.0,55555.0,48409.0,AZ
040168001530,75.0,25.0,75.0,25.0,4.0,34871.0,46367.0,37745.0,AZ
040168001709,60.0,40.0,48.9,51.1,7.0,36642.0,48629.0,42769.0,AZ
040168002005,46.2,53.8,63.1,36.9,6.0,39022.0,51605.0,43668.0,AZ
040168002135,40.6,59.4,40.6,59.4,10.0,37606.0,52950.0,46716.0,AZ
040168003122,48.8,51.2,76.7,23.3,5.0,39878.0,52838.0,42892.0,AZ
040171000106,72.7,27.3,43.2,56.8,9.0,36149.0,44904.0,41123.0,AZ
040171000107,48.3,51.7,65.5,34.5,8.0,36757.0,48542.0,40821.0,AZ
040171000109,72.4,27.6,41.4,58.6,9.0,36383.0,44217.0,40975.0,AZ
040171000111,61.5,38.5,34.6,65.4,8.0,36219.0,43726.0,41128.0,AZ
040171000112,75.9,24.1,24.1,75.9,11.0,36213.0,44633.0,42601.0,AZ
040171001027,78.4,21.6,59.5,40.5,8.0,36213.0,44626.0,39624.0,AZ
040171001056,72.7,27.3,48.5,51.5,7.0,35592.0,43756.0,39798.0,AZ
040171001357,71.4,28.6,42.9,57.1,12.0,35862.0,50256.0,44087.0,AZ
040171002213,63.6,36.4,27.3,72.7,9.0,36519.0,44278.0,42162.0,AZ
