NCES School ID,Teachers w/Bachelor Degree (%),Teachers w/Masters or PhD (%),Teachers w/1-5 yrs of exp (%),Teachers w/5+ yrs of exp (%),Mean yrs of teaching exp,Mean base salary for teachers w/1-5 yrs exp,Mean base salary for teachers w/5+ yrs exp,Mean base salary,State
040060001707,80.0,20.0,35.0,65.0,7.0,41008.0,53623.0,49208.0,AZ
040060001708,78.0,22.0,53.7,46.3,6.0,41301.0,55790.0,48015.0,AZ
040060002002,63.8,36.2,58.6,41.4,6.0,42000.0,56153.0,47857.0,AZ
040061603094,,0.0,,0.0,,,,,AZ
040063000019,,60.0,,80.0,9.0,,45661.0,44212.0,AZ
040068000020,36.7,61.2,40.8,59.2,9.0,35450.0,44993.0,41098.0,AZ
040068000021,60.0,36.9,38.5,61.5,10.0,33990.0,45902.0,41320.0,AZ
040068000022,45.5,50.0,13.6,86.4,16.0,34887.0,51442.0,49184.0,AZ
040068000023,59.5,40.5,28.6,71.4,9.0,35567.0,40476.0,39073.0,AZ
040068000025,46.9,53.1,18.8,81.3,15.0,35096.0,49878.0,47106.0,AZ
040068000026,69.7,30.3,30.3,69.7,12.0,33624.0,46072.0,42300.0,AZ
040068000027,57.8,42.2,35.6,64.4,10.0,34983.0,44179.0,40909.0,AZ
040068000028,50.0,47.7,18.2,81.8,14.0,35545.0,46568.0,44564.0,AZ
040068000029,60.6,36.4,27.3,72.7,13.0,33852.0,46289.0,42897.0,AZ
040068000030,46.2,53.8,53.8,46.2,7.0,33425.0,43237.0,37953.0,AZ
040068000031,40.7,59.3,11.1,88.9,16.0,35757.0,48796.0,47347.0,AZ
040068000032,52.2,47.8,25.6,74.4,13.0,35330.0,46667.0,43770.0,AZ
040068000033,47.7,51.1,20.5,79.5,15.0,33739.0,49272.0,46095.0,AZ
040068001001,60.5,36.8,31.6,68.4,10.0,33559.0,44257.0,40879.0,AZ
040068001031,52.0,48.0,20.0,80.0,12.0,32471.0,46659.0,43821.0,AZ
040068001286,42.9,57.1,28.6,71.4,12.0,35930.0,46329.0,43358.0,AZ
040068001394,59.5,38.1,19.0,81.0,12.0,34554.0,44517.0,42619.0,AZ
040068001525,40.0,57.8,24.4,75.6,10.0,33565.0,43931.0,41397.0,AZ
040068002066,56.8,43.2,21.6,78.4,11.0,33274.0,45285.0,42688.0,AZ
040068002198,55.1,44.9,40.4,59.6,10.0,34542.0,45545.0,41095.0,AZ
040072000034,58.8,35.3,23.5,76.5,11.0,38232.0,46837.0,44812.0,AZ
040079000040,75.0,25.0,65.6,34.4,6.0,33463.0,44307.0,37191.0,AZ
040079000041,44.0,56.0,24.0,76.0,14.0,33705.0,49885.0,46001.0,AZ
040079000042,55.3,44.7,47.4,52.6,10.0,34820.0,48763.0,42158.0,AZ
040079000043,40.0,57.3,25.3,74.7,13.0,34985.0,48447.0,45036.0,AZ
040079001200,61.3,38.7,38.7,61.3,8.0,33651.0,44878.0,40532.0,AZ
040079001461,55.6,44.4,47.2,52.8,11.0,33570.0,51259.0,42906.0,AZ
040079001628,35.9,64.1,35.9,64.1,10.0,36401.0,45474.0,42217.0,AZ
040079002212,44.4,55.6,29.6,70.4,10.0,36399.0,44814.0,42320.0,AZ
040079002345,37.5,62.5,,87.5,12.0,,46369.0,44648.0,AZ
040084000044,66.7,33.3,50.0,50.0,9.0,38391.0,42541.0,40466.0,AZ
040087000046,75.0,,75.0,,6.0,27359.0,,30571.0,AZ
040091000047,71.4,,,71.4,7.0,,35532.0,36308.0,AZ
040091000048,42.9,,,85.7,7.0,,42185.0,42582.0,AZ
040091001059,,,,,5.0,,,41277.0,AZ
040096000049,50.0,50.0,44.2,55.8,9.0,35924.0,55323.0,46743.0,AZ
040096000051,57.6,42.4,42.4,57.6,9.0,35382.0,54151.0,46188.0,AZ
040096001154,65.8,34.2,63.2,36.8,5.0,36338.0,47597.0,40486.0,AZ
040096001878,74.2,25.8,58.1,41.9,6.0,35703.0,45753.0,39918.0,AZ
040096002255,54.5,45.5,70.5,29.5,5.0,35793.0,50966.0,40276.0,AZ
040096002381,58.3,41.7,54.2,45.8,8.0,35430.0,55502.0,44630.0,AZ
040096002494,47.6,52.4,35.7,64.3,8.0,38398.0,49391.0,45465.0,AZ
040100000052,63.6,36.4,54.5,45.5,7.0,39000.0,42499.0,40590.0,AZ
040100000053,,75.0,,,8.0,,,42480.0,AZ
040105000054,50.0,50.0,47.9,52.1,8.0,38987.0,47173.0,43250.0,AZ
040105000055,81.1,18.9,62.2,37.8,7.0,38131.0,47848.0,41807.0,AZ
040105000056,56.3,43.8,31.3,68.8,11.0,38976.0,49331.0,46095.0,AZ
040105000057,54.1,45.9,43.2,56.8,9.0,38160.0,48439.0,43994.0,AZ
040105003142,74.2,25.8,77.4,22.6,4.0,37810.0,42106.0,38780.0,AZ
040108000059,55.0,45.0,40.0,60.0,9.0,31794.0,42872.0,38441.0,AZ
040116000062,75.0,25.0,50.0,50.0,7.0,38841.0,38921.0,38881.0,AZ
040118000063,71.4,28.6,38.1,61.9,8.0,37743.0,41778.0,40240.0,AZ
040118000064,71.4,,,85.7,15.0,,42997.0,42219.0,AZ
040118000066,53.8,46.2,,84.6,15.0,,44991.0,43997.0,AZ
040118001817,50.0,50.0,30.0,70.0,11.0,35734.0,44757.0,42050.0,AZ
040126000070,,80.0,0.0,100.0,16.0,,39615.0,39615.0,AZ
040129000071,50.0,50.0,,83.3,11.0,,34728.0,33666.0,AZ
040133000072,,60.0,0.0,100.0,18.0,,47808.0,47808.0,AZ
040133000073,75.0,,0.0,100.0,16.0,,42699.0,42699.0,AZ
040138002490,81.3,18.8,62.5,37.5,6.0,32642.0,37469.0,34452.0,AZ
040138002491,83.3,16.7,56.7,43.3,7.0,32891.0,41161.0,36475.0,AZ
040138002492,83.3,16.7,66.7,33.3,5.0,31659.0,39689.0,34336.0,AZ
040138002642,81.8,18.2,90.9,,4.0,31128.0,,32272.0,AZ
040138003123,85.0,12.5,60.0,40.0,6.0,31021.0,39376.0,34363.0,AZ
040141000075,69.1,27.9,50.0,50.0,8.0,39307.0,45834.0,42571.0,AZ
040141002137,50.0,50.0,40.9,59.1,8.0,38867.0,45204.0,42611.0,AZ
040141003082,0.0,100.0,0.0,100.0,10.0,,41665.0,41665.0,AZ
040146000077,65.5,34.5,17.2,82.8,12.0,30714.0,43672.0,41438.0,AZ
040146000078,56.1,43.9,19.5,80.5,13.0,32100.0,42383.0,40376.0,AZ
040146000080,72.0,28.0,48.0,52.0,11.0,29403.0,47137.0,38625.0,AZ
040146000081,52.3,47.7,26.5,73.5,12.0,31910.0,43988.0,40785.0,AZ
040146000213,52.6,47.4,31.6,68.4,10.0,30159.0,42808.0,38813.0,AZ
040146001050,64.3,35.7,17.9,82.1,17.0,30629.0,47942.0,44850.0,AZ
040146001051,79.3,20.7,24.1,75.9,13.0,30846.0,42866.0,39965.0,AZ
040146001356,56.3,43.8,21.9,78.1,12.0,28708.0,43906.0,40582.0,AZ
040146003062,69.6,30.4,39.1,60.9,9.0,31341.0,40386.0,36847.0,AZ
040150000084,78.9,21.1,52.6,47.4,7.0,33375.0,37276.0,35223.0,AZ
040150000085,70.6,29.4,73.5,26.5,6.0,34025.0,40436.0,35722.0,AZ
040150000855,78.4,18.9,59.5,40.5,6.0,33527.0,38380.0,35494.0,AZ
040150001053,86.8,13.2,68.4,31.6,4.0,32795.0,37431.0,34259.0,AZ
040150001528,92.6,,44.4,55.6,10.0,34341.0,40843.0,37953.0,AZ
040150001757,77.4,22.6,54.8,45.2,8.0,33786.0,44115.0,38451.0,AZ
040150002184,81.3,18.8,75.0,25.0,5.0,30763.0,35698.0,31997.0,AZ
040160000086,66.7,33.3,41.0,59.0,11.0,34674.0,43874.0,40100.0,AZ
040160000087,47.6,52.4,14.3,85.7,12.0,36343.0,41998.0,41190.0,AZ
040160001529,52.6,47.4,36.8,63.2,11.0,36706.0,41851.0,39956.0,AZ
040160003173,0.0,,0.0,,,,,,AZ
040165000088,81.8,,45.5,54.5,9.0,33629.0,38822.0,36461.0,AZ
040168000089,61.5,32.7,51.9,48.1,9.0,35783.0,53513.0,44307.0,AZ
040168000091,53.2,46.8,51.1,48.9,9.0,39571.0,50575.0,44956.0,AZ
040168000092,60.0,40.0,46.2,53.8,8.0,35828.0,50034.0,43477.0,AZ
040168000093,56.4,42.3,50.0,50.0,9.0,37759.0,49125.0,43442.0,AZ
040168000094,62.3,37.7,60.9,39.1,7.0,34535.0,49183.0,40267.0,AZ
040168000095,62.2,37.8,64.9,35.1,7.0,37662.0,52708.0,42949.0,AZ
040168000096,60.0,37.8,62.2,37.8,8.0,35850.0,53120.0,42374.0,AZ
040168000097,57.4,42.6,55.3,44.7,8.0,37697.0,51278.0,43765.0,AZ
040168000098,40.7,59.3,42.6,57.4,9.0,37500.0,52125.0,45896.0,AZ
040168000100,61.9,38.1,57.1,42.9,7.0,38536.0,50250.0,43556.0,AZ
040168000101,48.3,51.7,41.7,58.3,10.0,38356.0,51408.0,45970.0,AZ
040168000102,57.7,42.3,46.2,53.8,10.0,36344.0,52056.0,44804.0,AZ
040168000104,43.6,56.4,43.6,56.4,9.0,39754.0,53551.0,47531.0,AZ
040168000105,48.1,51.9,51.9,48.1,9.0,38475.0,54494.0,46176.0,AZ
040168001054,57.1,42.9,45.7,54.3,8.0,37271.0,48487.0,43360.0,AZ
040168001055,54.5,45.5,41.8,58.2,9.0,36762.0,49986.0,44456.0,AZ
040168001426,,,75.0,,9.0,41640.0,,48868.0,AZ
040168001530,66.7,33.3,72.2,27.8,8.0,37275.0,42601.0,38755.0,AZ
040168001709,66.0,34.0,50.0,50.0,8.0,34965.0,52498.0,43732.0,AZ
040168002005,46.4,53.6,52.2,47.8,8.0,37517.0,50242.0,43603.0,AZ
040168002135,47.5,52.5,47.5,52.5,11.0,36807.0,56976.0,47396.0,AZ
040168003122,52.3,47.7,68.2,31.8,6.0,39300.0,52190.0,43401.0,AZ
040171000106,67.9,32.1,42.9,57.1,8.0,37004.0,44674.0,41387.0,AZ
040171000107,48.3,51.7,58.6,41.4,8.0,37666.0,48167.0,42011.0,AZ
040171000109,86.4,13.6,54.5,45.5,8.0,36618.0,45693.0,40743.0,AZ
040171000111,65.5,34.5,44.8,55.2,7.0,35998.0,45056.0,40995.0,AZ
040171000112,51.9,48.1,14.8,85.2,13.0,39188.0,46554.0,45463.0,AZ
040171001027,71.1,28.9,63.2,36.8,7.0,36922.0,43473.0,39335.0,AZ
040171001056,57.1,42.9,46.4,53.6,7.0,37148.0,43754.0,40687.0,AZ
040171001357,63.3,36.7,40.0,60.0,10.0,36649.0,47575.0,43204.0,AZ
040171002213,57.1,42.9,26.5,73.5,10.0,38569.0,45598.0,43733.0,AZ
040171002574,66.7,33.3,70.8,29.2,4.0,36690.0,42837.0,38483.0,AZ
040174000113,52.1,46.4,38.6,61.4,10.0,35725.0,44681.0,41227.0,AZ
040174001629,70.0,30.0,60.0,40.0,6.0,40605.0,44979.0,42355.0,AZ
040174002214,40.9,59.1,36.4,63.6,11.0,37870.0,38684.0,38388.0,AZ
040176000011,41.3,57.6,31.5,68.5,10.0,36221.0,47638.0,44039.0,AZ
040176000116,41.5,58.5,26.8,73.2,11.0,34845.0,48197.0,44615.0,AZ
040176000117,46.2,53.8,34.6,65.4,12.0,35910.0,49242.0,44627.0,AZ
040176001002,26.9,69.2,23.1,76.9,12.0,35167.0,49586.0,46258.0,AZ
040176001032,55.2,44.8,24.1,75.9,13.0,34400.0,49720.0,46022.0,AZ
040176001358,58.3,41.7,20.8,79.2,10.0,35637.0,46033.0,43867.0,AZ
040176001487,38.2,58.8,35.3,64.7,9.0,36785.0,46239.0,42902.0,AZ
040176001531,0.0,100.0,0.0,100.0,9.0,,40548.0,40548.0,AZ
040181000325,73.9,26.1,13.0,87.0,14.0,31434.0,41478.0,40168.0,AZ
040181002544,37.5,62.5,,75.0,8.0,,42113.0,38557.0,AZ
040187000013,48.8,51.2,48.8,51.2,8.0,38411.0,58229.0,48562.0,AZ
040187000123,29.1,70.3,27.7,72.3,11.0,41790.0,57207.0,52936.0,AZ
040187000125,38.2,61.8,35.3,64.7,8.0,39987.0,53279.0,48588.0,AZ
040187000127,48.4,51.6,51.6,48.4,6.0,40628.0,52904.0,46568.0,AZ
040187000128,56.1,43.9,49.1,50.9,9.0,40450.0,56562.0,48647.0,AZ
040187000129,35.9,64.1,41.0,59.0,9.0,42519.0,54063.0,49327.0,AZ
040187000131,53.3,46.7,33.3,66.7,9.0,39519.0,55656.0,50277.0,AZ
040187000133,31.1,68.9,47.5,52.5,7.0,42200.0,52057.0,47371.0,AZ
040187000615,33.3,66.7,31.0,69.0,9.0,40742.0,56653.0,51728.0,AZ
040187001058,62.5,37.5,52.5,47.5,7.0,39943.0,51727.0,45540.0,AZ
040187001155,45.5,54.5,58.2,41.8,7.0,41213.0,55611.0,47234.0,AZ
040187001206,24.1,75.9,41.4,58.6,10.0,41870.0,57708.0,51154.0,AZ
040187001289,53.6,46.4,42.9,57.1,7.0,43514.0,52237.0,48499.0,AZ
040187001359,35.3,64.7,38.2,61.8,8.0,40083.0,54524.0,49002.0,AZ
040187001399,44.4,55.6,51.9,48.1,9.0,40443.0,61813.0,50732.0,AZ
040187001400,46.4,53.6,41.1,58.9,9.0,41294.0,54793.0,49249.0,AZ
040187001532,30.4,69.6,28.3,71.7,9.0,41635.0,55630.0,51675.0,AZ
040187001533,29.3,70.7,44.8,55.2,8.0,41606.0,57834.0,50559.0,AZ
040187001675,30.8,69.2,28.2,71.8,12.0,40390.0,57343.0,52561.0,AZ
040187001676,42.2,57.8,33.3,66.7,9.0,40310.0,54214.0,49579.0,AZ
040187001677,19.3,79.3,27.6,72.4,9.0,42514.0,57767.0,53559.0,AZ
040187001678,50.0,50.0,42.9,57.1,8.0,39381.0,45960.0,43141.0,AZ
040187001996,35.8,64.2,34.0,66.0,9.0,41845.0,53987.0,49863.0,AZ
040187002125,37.7,62.3,32.1,67.9,9.0,41778.0,54943.0,50720.0,AZ
040187002250,45.0,53.6,70.0,30.0,4.0,42287.0,51826.0,45148.0,AZ
040187002251,40.8,59.2,42.9,57.1,6.0,42077.0,53293.0,48486.0,AZ
040187002346,53.3,46.7,60.0,40.0,6.0,39687.0,54670.0,45680.0,AZ
040187002379,66.7,33.3,69.4,30.6,5.0,42009.0,52542.0,45228.0,AZ
040187002380,46.8,53.2,46.8,53.2,7.0,42771.0,51019.0,47159.0,AZ
040187002478,38.9,61.1,75.0,25.0,5.0,43940.0,54026.0,46462.0,AZ
040187002479,34.4,65.6,87.5,12.5,4.0,43976.0,55014.0,45355.0,AZ
040187002480,63.6,36.4,60.0,40.0,6.0,39896.0,54950.0,45917.0,AZ
040187002587,43.2,56.8,51.4,48.6,8.0,40707.0,55308.0,47810.0,AZ
040187002646,55.2,44.8,86.2,13.8,4.0,40758.0,52382.0,42362.0,AZ
040194000135,60.0,40.0,7.5,92.5,14.0,32436.0,44897.0,43962.0,AZ
040194000136,39.5,60.5,7.9,92.1,17.0,34111.0,47555.0,46493.0,AZ
040194000137,58.7,41.3,31.7,68.3,9.0,33470.0,44395.0,40927.0,AZ
040194000138,44.8,55.2,17.2,82.8,14.0,34316.0,46185.0,44138.0,AZ
040194000140,50.0,50.0,13.3,86.7,15.0,33571.0,47514.0,45655.0,AZ
040194000145,56.7,43.3,20.0,80.0,12.0,33386.0,44781.0,42502.0,AZ
040194001139,,0.0,,,,,,,AZ
040194001488,35.3,64.7,0.0,100.0,18.0,,48587.0,48587.0,AZ
040211000150,,,,,10.0,,,30832.0,AZ
040211000151,71.4,,57.1,42.9,6.0,26165.0,32498.0,28879.0,AZ
040213000152,37.5,62.5,37.5,62.5,9.0,41481.0,49769.0,46661.0,AZ
040219000154,90.9,,27.3,72.7,11.0,32378.0,40997.0,38646.0,AZ
040222002220,90.0,,40.0,60.0,12.0,34432.0,47102.0,42034.0,AZ
040225000156,45.5,54.5,31.8,68.2,9.0,35114.0,40947.0,39091.0,AZ
040232000158,65.1,32.6,44.2,55.8,5.0,36073.0,37625.0,36939.0,AZ
040232000164,64.6,35.4,62.5,37.5,4.0,32924.0,37375.0,34593.0,AZ
040232001025,0.0,,0.0,,,,,,AZ
040232001208,78.6,21.4,71.4,28.6,4.0,33104.0,36125.0,33967.0,AZ
040232001534,73.7,26.3,52.6,47.4,4.0,31712.0,36917.0,34178.0,AZ
040232001966,75.0,,0.0,100.0,7.0,,42296.0,42296.0,AZ
040232002643,83.3,16.7,77.8,22.2,4.0,32297.0,37250.0,33398.0,AZ
040232003079,82.2,17.8,95.6,,2.0,33086.0,,33471.0,AZ
040237000165,88.2,,41.2,58.8,9.0,32807.0,38370.0,36079.0,AZ
040237000166,67.9,32.1,46.4,53.6,10.0,32551.0,42651.0,37962.0,AZ
040237000167,71.8,28.2,43.6,56.4,7.0,32615.0,38253.0,35795.0,AZ
040237001360,57.7,42.3,42.3,57.7,9.0,33825.0,41881.0,38473.0,AZ
040237002384,63.2,36.8,36.8,63.2,12.0,32048.0,43525.0,39296.0,AZ
040240000014,72.7,27.3,50.0,50.0,7.0,35169.0,44831.0,40000.0,AZ
040240000017,60.5,39.5,55.3,44.7,7.0,36647.0,48323.0,41870.0,AZ
040240000036,74.3,25.7,48.6,51.4,8.0,38429.0,48236.0,43472.0,AZ
040240000037,81.0,19.0,54.8,45.2,6.0,35934.0,45166.0,40110.0,AZ
040240000171,62.9,37.1,40.0,60.0,9.0,38488.0,50248.0,45544.0,AZ
040240001087,60.0,40.0,30.0,70.0,10.0,35504.0,46859.0,43452.0,AZ
040240001976,63.9,36.1,47.2,52.8,8.0,36043.0,47189.0,41925.0,AZ
040240002424,74.3,25.7,40.0,60.0,8.0,37324.0,45840.0,42433.0,AZ
040240002425,60.5,39.5,50.0,50.0,6.0,34880.0,48809.0,41845.0,AZ
040243000174,64.2,35.8,34.0,66.0,8.0,37951.0,44625.0,42358.0,AZ
040243000176,57.1,42.9,22.4,77.6,11.0,35498.0,46387.0,43943.0,AZ
040243000177,84.9,15.1,52.8,47.2,6.0,37641.0,43556.0,40431.0,AZ
040243000178,65.9,34.1,56.8,43.2,8.0,36687.0,52522.0,43525.0,AZ
040243000179,64.7,35.3,47.1,52.9,10.0,35757.0,50044.0,43320.0,AZ
040243000180,52.4,47.6,40.5,59.5,11.0,36286.0,48361.0,43474.0,AZ
040243000181,65.1,34.9,48.8,51.2,8.0,36915.0,49590.0,43400.0,AZ
040243001704,51.2,48.8,30.2,69.8,9.0,39386.0,50419.0,47084.0,AZ
040243001998,,,0.0,100.0,14.0,,49660.0,49660.0,AZ
040243001999,55.8,42.3,71.2,28.8,5.0,38454.0,45414.0,40461.0,AZ
040248001210,60.0,,,60.0,9.0,,39650.0,38605.0,AZ
040248001536,,0.0,,,,,,,AZ
040249000183,,,0.0,100.0,25.0,,46418.0,46418.0,AZ
040253000184,,0.0,,0.0,,,,,AZ
040253000185,43.3,56.7,20.0,80.0,14.0,31954.0,43354.0,41074.0,AZ
040253000186,93.8,,31.3,68.8,10.0,32887.0,37697.0,36194.0,AZ
040253000187,50.0,50.0,21.4,78.6,16.0,38660.0,49249.0,46980.0,AZ
040253000190,77.3,22.7,40.9,59.1,11.0,33563.0,40918.0,37909.0,AZ
040253000191,75.0,25.0,41.7,58.3,10.0,32318.0,39068.0,36255.0,AZ
040253000192,61.5,38.5,30.8,69.2,11.0,33399.0,39083.0,37334.0,AZ
040253000193,88.9,,,88.9,14.0,,40213.0,39668.0,AZ
040253000194,57.1,42.9,33.3,66.7,12.0,34589.0,43919.0,40809.0,AZ
040253001291,0.0,,,0.0,,,,,AZ
040260000195,50.0,50.0,,75.0,15.0,,34708.0,34119.0,AZ
040260000196,50.0,50.0,0.0,100.0,18.0,,38913.0,38913.0,AZ
040260001292,77.8,,,77.8,9.0,,37457.0,36267.0,AZ
040269000197,73.6,26.4,64.2,35.8,6.0,41415.0,58989.0,47715.0,AZ
040269000198,61.0,37.8,46.3,53.7,8.0,42416.0,51230.0,47146.0,AZ
040269000199,71.7,28.3,52.8,47.2,7.0,41164.0,51644.0,46107.0,AZ
040269000200,66.7,33.3,53.8,46.2,8.0,40218.0,54873.0,46982.0,AZ
040269000201,81.8,18.2,56.4,43.6,7.0,40306.0,51665.0,45262.0,AZ
040269001462,71.7,28.3,39.1,60.9,8.0,43112.0,50958.0,47887.0,AZ
040269002126,74.5,25.5,56.9,43.1,7.0,42176.0,56472.0,48343.0,AZ
040269002340,71.4,28.6,53.1,46.9,7.0,44572.0,54102.0,49045.0,AZ
040269002401,72.3,27.7,66.0,34.0,5.0,41778.0,49210.0,44308.0,AZ
040269002402,69.4,30.6,52.8,47.2,5.0,41473.0,47208.0,44181.0,AZ
040269002481,73.3,26.7,64.4,35.6,5.0,42559.0,51073.0,45586.0,AZ
040269002482,65.1,34.9,44.2,55.8,7.0,40180.0,47703.0,44379.0,AZ
040269002649,64.1,35.9,71.8,28.2,5.0,37951.0,50818.0,41580.0,AZ
040269002655,77.8,22.2,75.0,25.0,4.0,37992.0,45776.0,39938.0,AZ
040269002679,67.6,32.4,52.9,47.1,7.0,43211.0,51864.0,47283.0,AZ
