NCES School ID,Teachers w/Bachelor Degree (%),Teachers w/Masters or PhD (%),Teachers w/1-5 yrs of exp (%),Teachers w/5+ yrs of exp (%),Mean yrs of teaching exp,Mean base salary for teachers w/1-5 yrs exp,Mean base salary for teachers w/5+ yrs exp,Mean base salary,State
040000100120,51.6,48.4,41.9,58.1,9.0,37223.0,47784.0,43355.0,AZ
040000100616,70.8,29.2,12.5,87.5,12.0,36300.0,49764.0,48081.0,AZ
040000101203,56.8,43.2,43.2,56.8,8.0,36419.0,46909.0,42373.0,AZ
040000101204,48.6,51.4,23.0,77.0,11.0,36898.0,49443.0,46561.0,AZ
040000101871,52.8,47.2,33.3,66.7,8.0,38584.0,45746.0,43359.0,AZ
040000101872,35.0,65.0,22.5,77.5,10.0,40447.0,45870.0,44650.0,AZ
040000102344,53.3,46.7,53.3,46.7,7.0,37587.0,44821.0,40963.0,AZ
040000102484,60.0,40.0,53.3,46.7,6.0,37688.0,43221.0,40270.0,AZ
040000300147,58.3,41.7,19.4,80.6,11.0,32787.0,41512.0,39815.0,AZ
040000301198,65.8,34.2,52.6,47.4,8.0,33500.0,42286.0,37662.0,AZ
040000301458,52.6,47.4,47.4,52.6,9.0,34648.0,42706.0,38889.0,AZ
040000301969,58.3,41.7,44.4,55.6,9.0,34788.0,41888.0,38733.0,AZ
040000400912,39.1,60.9,13.0,87.0,14.0,33300.0,47959.0,46047.0,AZ
040000500629,87.5,,37.5,62.5,6.0,33980.0,38245.0,36646.0,AZ
040002101276,72.7,27.3,31.8,68.2,12.0,25839.0,36324.0,32988.0,AZ
040002201354,83.3,,0.0,100.0,10.0,,33838.0,33838.0,AZ
040002301352,70.3,29.7,24.3,75.7,8.0,31417.0,41746.0,39233.0,AZ
040002301355,65.0,35.0,50.0,50.0,7.0,34756.0,39470.0,37113.0,AZ
040002301524,50.0,46.7,30.0,70.0,10.0,35760.0,37919.0,37271.0,AZ
040002601389,100.0,0.0,50.0,50.0,5.0,30699.0,33098.0,31898.0,AZ
040002601459,100.0,0.0,,,9.0,,,36465.0,AZ
040002601460,41.7,41.7,25.0,75.0,10.0,31799.0,39043.0,37232.0,AZ
040002601767,50.0,50.0,,87.5,13.0,,42127.0,40816.0,AZ
040002800528,75.0,,75.0,,5.0,26433.0,,26825.0,AZ
040004300733,62.5,37.5,87.5,,7.0,33951.0,,33872.0,AZ
040008200006,72.5,27.5,30.0,70.0,11.0,40117.0,46432.0,44537.0,AZ
040008201457,62.7,34.7,40.0,60.0,9.0,39023.0,48135.0,44490.0,AZ
040009901182,100.0,0.0,60.0,,5.0,32104.0,,37692.0,AZ
040012901790,61.5,38.5,61.5,38.5,7.0,28688.0,36300.0,31615.0,AZ
040013801727,66.7,33.3,44.4,55.6,11.0,33177.0,41360.0,37723.0,AZ
040014101657,85.7,,57.1,42.9,6.0,22925.0,24755.0,23709.0,AZ
040015201961,,,,,4.0,,,34650.0,AZ
040016201751,0.0,,,0.0,,,,,AZ
040016301820,,0.0,0.0,,,,,,AZ
040016302429,0.0,,0.0,,,,,,AZ
040016303138,100.0,0.0,,,10.0,,,37376.0,AZ
040021200060,71.4,28.6,47.6,52.4,10.0,32740.0,45575.0,39463.0,AZ
040021200061,65.0,35.0,,90.0,11.0,,40395.0,39601.0,AZ
040021201120,61.1,38.9,27.8,72.2,12.0,30605.0,43946.0,40240.0,AZ
040021202444,,0.0,0.0,,,,,,AZ
040021601864,,60.0,80.0,,4.0,42752.0,,43002.0,AZ
040024102029,71.2,28.8,59.3,40.7,7.0,34202.0,41868.0,37320.0,AZ
040028102187,78.6,21.4,35.7,64.3,9.0,29203.0,35847.0,33474.0,AZ
040029500149,63.6,36.4,54.5,45.5,6.0,34810.0,37625.0,36089.0,AZ
040029500326,80.0,20.0,40.0,60.0,8.0,32387.0,40319.0,37146.0,AZ
040029500327,60.0,40.0,34.3,65.7,10.0,33464.0,41154.0,38518.0,AZ
040029500328,58.3,41.7,41.7,58.3,11.0,34067.0,43611.0,39634.0,AZ
040029500329,55.6,44.4,55.6,44.4,7.0,34638.0,41249.0,37576.0,AZ
040029500881,67.0,32.0,37.1,62.9,10.0,33173.0,41466.0,38388.0,AZ
040029501126,71.4,28.6,20.0,80.0,13.0,33285.0,42819.0,40912.0,AZ
040029501495,60.0,40.0,28.6,71.4,10.0,31616.0,41449.0,38640.0,AZ
040029501544,67.7,32.3,48.4,51.6,6.0,32637.0,40612.0,36753.0,AZ
040029502661,72.2,25.0,50.0,50.0,8.0,32819.0,42560.0,37689.0,AZ
040031502217,75.0,,,,8.0,,,37478.0,AZ
040034802241,0.0,0.0,,0.0,,,,,AZ
040041202410,,60.0,,60.0,13.0,,42350.0,41410.0,AZ
040041902473,0.0,,0.0,,,,,,AZ
040042703160,50.0,50.0,,87.5,10.0,,42769.0,41564.0,AZ
040043102556,,0.0,,,,,,,AZ
040043402562,,0.0,,,,,,,AZ
040045000001,53.5,46.5,36.0,64.0,9.0,39632.0,48803.0,45497.0,AZ
040045001884,52.0,48.0,36.0,64.0,9.0,39112.0,48937.0,45400.0,AZ
040045002273,67.1,32.9,63.2,36.8,5.0,38700.0,45011.0,41025.0,AZ
040045002592,42.1,57.9,47.4,52.6,6.0,38520.0,44049.0,41430.0,AZ
040048000002,75.0,25.0,33.3,66.7,9.0,30581.0,43078.0,38912.0,AZ
040052000003,70.0,30.0,35.0,65.0,16.0,31571.0,44219.0,39792.0,AZ
040052003063,50.0,50.0,,75.0,16.0,,39819.0,38181.0,AZ
040060000007,74.1,25.9,44.4,55.6,8.0,42356.0,56940.0,50458.0,AZ
040060000008,68.9,31.1,46.7,53.3,10.0,42372.0,55349.0,49293.0,AZ
040060000009,68.9,31.1,36.1,63.9,9.0,42573.0,55226.0,50663.0,AZ
040060000010,57.8,42.2,51.1,48.9,7.0,41155.0,57011.0,48907.0,AZ
040060000012,76.6,23.4,60.9,39.1,7.0,41726.0,58033.0,48096.0,AZ
040060000015,63.5,36.5,38.5,61.5,9.0,40261.0,56747.0,50406.0,AZ
040060000016,70.4,29.6,44.4,55.6,8.0,41365.0,56392.0,49713.0,AZ
040060000018,72.1,27.9,47.5,52.5,7.0,42594.0,56110.0,49684.0,AZ
040060000302,72.1,27.9,52.5,47.5,7.0,42347.0,55562.0,48629.0,AZ
040060001283,82.8,17.2,41.4,58.6,10.0,40960.0,59242.0,51677.0,AZ
040060001418,53.6,46.4,50.7,49.3,6.0,41361.0,56552.0,48846.0,AZ
040060001486,82.0,18.0,36.0,64.0,10.0,40481.0,57108.0,51122.0,AZ
