NCESSCH	PCT_BACH	PCT_ADVC	P_EXPLT6	P_EXPGT5	MEAN_EXP	M_BSALT6	M_BSAGT5	M_BSAL
040021200060	76.2	23.8	47.6	52.4	10	31040	43664	37653
040021200061	65.0	35.0	15.0	85.0	12	31588	38667	37606
040021201120	66.7	33.3	22.2	77.8	12	30964	41841	39424
040021202444	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
040029500149	66.7	33.3	81.0	19.0	5	38686	42372	39388
040029500326	85.4	14.6	43.9	56.1	8	36931	43158	40424
040029500327	72.2	27.8	44.4	55.6	10	38691	44094	41693
040029500328	62.9	37.1	34.3	65.7	12	36998	46652	43342
040029500329	77.3	22.7	40.9	59.1	10	38799	44599	42226
040029500432	75.8	24.2	33.3	66.7	9	38262	43749	41920
040029500881	69.1	30.9	30.9	69.1	11	37396	45262	42833
040029501126	89.5	10.5	28.9	71.1	12	38884	45932	43892
040029501495	82.1	17.9	35.9	64.1	9	35816	44701	41512
040029501544	79.3	20.7	48.3	51.7	6	35795	42507	39266
040031502217	-1.0	0.0	0.0	-1.0	-1	-2	-1	-1
040045000001	52.8	47.2	34.8	65.2	9	37616	46750	43569
040045001884	48.0	52.0	40.0	60.0	9	38803	47193	43837
040045002273	67.3	32.7	65.5	34.5	5	38345	44785	40570
040048000002	55.6	44.4	-1.0	77.8	10	-1	39165	37373
040052000003	73.7	26.3	36.8	63.2	15	28410	42943	37589
